"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Independent review of the RCMP","BXF03","Public Education",789450.00,136662.39,745454.00,745454.00,5.00,3.00,5.00,5.00,"The Commission’s strategic approach to achieving this objective includes initiatives designed to improve the delivery of the Commission’s core programs and services to Canadians.
Engagement and outreach initiatives inform Canadians about the services the Commission provides and clearly outline how to access these services. To this end the Commission will:
• Identify key community stakeholders and partners, and develop suitable engagement strategies and information materials for their use with a particular focus on Indigenous communities.
• Maintain effective and collaborative relationships with the RCMP and provincial oversight bodies with jurisdiction to investigate serious incidents involving the RCMP.
• Undertake outreach activities alone or in collaboration with other agencies to raise awareness of the Commission’s mandate and the services it offers, with an emphasis on Indigenous communities.","Erratum note: Actual expenditure figure for this program is $398,986.72."
"2020-2021",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Internal Services","ISS30","Internal Services",2668173.00,4734994.67,2668173.00,2645504.00,23.00,23.00,23.00,23.00,"The Commission’s expenditures and planned expenditures have remained stable.
The Commission will ensure that resources are deployed in the most effective and efficient manner possible. Its operational and administrative structures, tools and processes will continue to focus on supporting the delivery of its priorities. Streamlining business processes and employing strategies and technologies that enhance operational efficiency will reduce the internal services costs.
The Commission’s employees are the backbone of its operations. Employee health and well-being are key to the Commission’s success. Initiatives geared towards improving workplace health and employee well-being are an ongoing priority for the Commission. Key objectives for this reporting period include:
• Upgrading the Commission’s IT infrastructure to ensure optimal efficiency and full compliance with Treasury Board IM and IT standards.
• Continued refinement and integration of Commission records management and case management systems.
• Reviewing the organizational structure and human resources strategy to ensure an agile business structure that responds to operational needs with a particular focus on the timely completion of major investigations.
• Implementating initiatives to improve employee health and well-being, mental health and workplace health.","Erratum note: Actual expenditure figure for internal services is $4,378,226.34."
"2020-2021",302,"National Security and Intelligence Review Agency Secretariat","Assist the National Security and Intelligence Review Agency","BXW01","Support the Conduct of Reviews and Investigations, and the Development of Reports",11309411.00,5607795.51,12107192.00,13842015.00,48.00,38.00,75.00,75.00,,
"2020-2021",302,"National Security and Intelligence Review Agency Secretariat","Internal Services","ISS00","Internal Services",12975559.00,6643579.66,12107192.00,4614005.00,22.00,22.00,25.00,25.00,,
"2020-2021",305,"Shared Services Canada","Email and Workplace Technology","BWC06","Workplace Technologies",105658739.00,149739563.42,104532683.00,93491711.00,307.00,349.00,307.00,307.00,,
"2020-2021",305,"Shared Services Canada","Data Centres","BWD09","Cloud",13702402.00,17969410.39,2677540.00,2706078.00,163.00,83.00,163.00,163.00,,
"2020-2021",305,"Shared Services Canada","Data Centres","BWD10","Data Centre Information Technology Operations",575641893.00,690695951.65,517092490.00,519205059.00,1523.00,1699.00,1523.00,1523.00,,
"2020-2021",305,"Shared Services Canada","Telecommunications","BWE09","Telecommunications",255616030.00,265914664.00,237837220.00,261979092.00,823.00,481.00,812.00,812.00,,
"2020-2021",305,"Shared Services Canada","Telecommunications","BWE10","Networks",348489748.00,341232246.41,280846655.00,276906606.00,866.00,1113.00,872.00,872.00,,
"2020-2021",305,"Shared Services Canada","Cyber and IT Security","BWF07","Security",150947078.00,227592081.31,138829875.00,136954662.00,740.00,621.00,716.00,716.00,,
"2020-2021",305,"Shared Services Canada","Customer Relationships and Service Management","BWG04","Enterprise Services Design and Delivery",373741032.00,317763138.01,198796652.00,165948245.00,1244.00,1574.00,1244.00,1237.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS01","Management and Oversight Services",35608683.00,52289774.32,34977474.00,34495278.00,211.00,246.00,211.00,211.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS02","Communications Services",16590435.00,11313972.70,16531039.00,16303144.00,118.00,106.00,118.00,118.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS03","Legal Services",1800541.00,,1775150.00,1750678.00,0.00,0.00,0.00,0.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS04","Human Resources Management Services",37689638.00,45401644.05,37183162.00,36670559.00,268.00,346.00,268.00,268.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS05","Financial Management Services",45612914.00,60710964.53,41102037.00,40535410.00,249.00,306.00,249.00,249.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS06","Information Management Services",8535740.00,14022068.81,8463336.00,8346661.00,58.00,39.00,58.00,58.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS07","Information Technology Services",46515745.00,67226148.94,46315172.00,45676676.00,162.00,244.00,162.00,162.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS08","Real Property Management Services",21500124.00,29122513.54,22277283.00,21970171.00,33.00,47.00,33.00,33.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS09","Materiel Management Services",0.00,2284812.71,0.00,0.00,0.00,15.00,0.00,0.00,,
"2020-2021",305,"Shared Services Canada","Internal Services","ISS0Z","Acquisition Management Services",17526388.00,18918317.95,17505866.00,17264532.00,190.00,206.00,190.00,190.00,,
"2020-2021",306,"Social Sciences and Humanities Research Council","Funding Social Sciences and Humanities Research and Training","BNT01","Insight Research",252409681.00,247024115.98,257138004.00,256222130.00,81.00,82.00,81.00,81.00,,
"2020-2021",306,"Social Sciences and Humanities Research Council","Funding Social Sciences and Humanities Research and Training","BNT02","Research Training and Talent Development",130682052.00,146554180.88,133354181.00,133621740.00,40.00,39.00,40.00,40.00,,"2020-21 Planned Spending in Titan at the program inventory level does not match our 2020-21 Departmental Plan data. The variance at the program inventory level cannot be explained due to this error."
"2020-2021",306,"Social Sciences and Humanities Research Council","Funding Social Sciences and Humanities Research and Training","BNT03","Research Partnerships",88616585.00,111840051.92,90059370.00,83694960.00,38.00,39.00,38.00,38.00,,"2020-21 Planned Spending in Titan at the program inventory level does not match our 2020-21 Departmental Plan data. The variance at the program inventory level cannot be explained due to this error."
"2020-2021",306,"Social Sciences and Humanities Research Council","Funding Social Sciences and Humanities Research and Training","BNT04","New Frontiers in Research Fund",72293171.00,44361718.32,75363051.00,110211784.00,16.00,15.00,16.00,16.00,,"The delay in competition timelines in response to the evolving circumstances created by the COVID-19 pandemic led to a reprofile of $24M and a lapse of $3.7M"
"2020-2021",306,"Social Sciences and Humanities Research Council","Funding Social Sciences and Humanities Research and Training","BNT05","Canada Research Continuity Emergency Fund",,434458507.00,,,,5.00,,,,
"2020-2021",306,"Social Sciences and Humanities Research Council","Institutional support for the indirect costs of research","BNU01","Research Support Fund",415487549.00,414635293.55,428057398.00,428094471.00,7.00,4.00,7.00,7.00,,
"2020-2021",306,"Social Sciences and Humanities Research Council","Internal Services","ISS01","Management and Oversight Services",4984450.00,5712443.26,4791657.00,4763928.00,30.00,47.00,30.00,30.00,,"A number of corporate priorities were required in 2020-21 including Equity, Diversity and Inclusion action plan, Early Career Researchers action plan, Indigenous institutional eligibility implementation, GBA analysis for scholarship application forms, data management policy, open access policy"
"2020-2021",306,"Social Sciences and Humanities Research Council","Internal Services","ISS02","Communications Services",1868562.00,2032356.60,1796289.00,1785893.00,11.00,14.00,11.00,11.00,,
